Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 11 2 21 129.56 -634.18 35.68 101710.61
2019 10 6 11 2 21 128.04 -793.79 35.67 101710.50
2019 10 6 11 2 22 126.63 -679.74 35.67 101710.89
2019 10 6 11 2 22 127.53 -634.18 35.65 101711.17
2019 10 6 11 2 23 128.18 -634.18 35.65 101711.70
2019 10 6 11 2 24 125.48 -679.74 35.64 101711.53
2019 10 6 11 2 24 123.98 -679.74 35.64 101711.15
2019 10 6 11 2 25 116.94 -732.35 35.63 101711.04
2019 10 6 11 2 25 107.78 -634.18 35.62 101711.48
2019 10 6 11 2 26 93.65 -2413.78 35.60 101712.28
2019 10 6 11 2 26 84.07 118275.11 35.59 101713.17
2019 10 6 11 2 27 76.28 523.34 35.55 101713.75
2019 10 6 11 2 28 69.89 269.73 35.54 101714.14
2019 10 6 11 2 28 65.14 109.92 35.55 101714.19
2019 10 6 11 2 29 59.91 75.05 35.54 101714.23
2019 10 6 11 2 29 51.90 99.52 35.52 101715.69
2019 10 6 11 2 30 46.92 52.25 35.50 101716.45
2019 10 6 11 2 30 42.47 33.78 35.49 101717.20
2019 10 6 11 2 31 40.46 35.43 35.47 101717.83
2019 10 6 11 2 31 38.32 35.83 35.46 101718.92
2019 10 6 11 2 32 37.57 31.64 35.46 101719.14
2019 10 6 11 2 33 37.03 32.51 35.45 101719.63
2019 10 6 11 2 33 36.82 29.94 35.44 101720.06
2019 10 6 11 2 34 36.72 32.51 35.43 101720.30
2019 10 6 11 2 34 36.28 30.91 35.42 101721.27
2019 10 6 11 2 35 36.18 32.40 35.41 101721.10
2019 10 6 11 2 35 36.92 28.15 35.41 101721.62
2019 10 6 11 2 36 50.25 34.78 35.42 101721.70
2019 10 6 11 2 36 60.91 50.58 35.44 101720.68
2019 10 6 11 2 37 70.99 50.58 35.45 101719.88
2019 10 6 11 2 38 80.02 523.34 35.47 101719.47
2019 10 6 11 2 38 87.11 -634.18 35.49 101718.97
2019 10 6 11 2 39 93.08 -679.74 35.51 101718.63
2019 10 6 11 2 39 97.90 -634.18 35.52 101717.93
2019 10 6 11 2 40 102.61 1556.25 35.53 101717.42
2019 10 6 11 2 40 109.14 -679.74 35.54 101716.98
2019 10 6 11 2 41 114.21 -953.83 35.55 101715.64
2019 10 6 11 2 42 122.13 -793.79 35.56 101715.50
2019 10 6 11 2 42 132.07 -634.18 35.56 101715.06
2019 10 6 11 2 43 137.72 -4928.13 35.57 101714.72
2019 10 6 11 2 43 140.06 -634.18 35.58 101713.30
2019 10 6 11 2 44 140.91 -634.18 35.60 101713.19
2019 10 6 11 2 44 142.09 -732.35 35.61 101713.09
2019 10 6 11 2 45 142.00 -679.74 35.62 101712.61
2019 10 6 11 2 46 141.02 -634.18 35.63 101711.29
2019 10 6 11 2 46 139.60 -634.18 35.64 101710.84
2019 10 6 11 2 47 135.44 -679.74 35.65 101710.36
2019 10 6 11 2 47 130.44 -634.18 35.66 101710.30
2019 10 6 11 2 48 127.86 -679.74 35.69 101709.99
2019 10 6 11 2 48 121.86 -634.18 35.71 101710.11
2019 10 6 11 2 49 114.70 269.73 35.74 101710.25
2019 10 6 11 2 50 103.21 -3240.41 35.76 101710.09
2019 10 6 11 2 50 87.43 -634.18 35.78 101710.57
2019 10 6 11 2 51 74.04 59.86 35.78 101710.95
2019 10 6 11 2 51 64.70 -559.22 35.78 101711.11
2019 10 6 11 2 52 56.03 523.34 35.78 101711.11
2019 10 6 11 2 52 47.29 39.91 35.78 101711.89
2019 10 6 11 2 53 43.04 48.26 35.78 101712.51
2019 10 6 11 2 54 41.33 33.90 35.78 101712.63
2019 10 6 11 2 54 41.07 35.56 35.78 101712.85
2019 10 6 11 2 55 41.12 34.52 35.79 101712.53
2019 10 6 11 2 55 40.38 60.24 35.79 101712.96
2019 10 6 11 2 56 40.92 42.99 35.79 101713.38
2019 10 6 11 2 56 40.51 -679.74 35.79 101713.60
2019 10 6 11 2 57 41.00 36.38 35.79 101713.90
2019 10 6 11 2 57 45.36 75.05 35.79 101714.24
2019 10 6 11 2 58 51.41 236.08 35.80 101714.49
2019 10 6 11 2 59 64.48 59.11 35.82 101714.38
2019 10 6 11 2 59 76.33 157.49 35.83 101714.09
2019 10 6 11 3 0 92.45 -634.18 35.88 101713.72
2019 10 6 11 3 0 109.23 -634.18 35.89 101713.21
2019 10 6 11 3 1 118.75 168.72 35.91 101712.70
2019 10 6 11 3 1 124.70 -559.22 35.94 101712.48
2019 10 6 11 3 2 130.85 -634.18 35.98 101711.80
2019 10 6 11 3 3 137.07 -634.18 36.01 101711.59
2019 10 6 11 3 3 142.22 -634.18 36.03 101711.03
2019 10 6 11 3 4 145.89 118275.11 36.06 101710.82
2019 10 6 11 3 4 148.46 -634.18 36.11 101710.80
2019 10 6 11 3 5 148.12 -634.18 36.14 101710.14
2019 10 6 11 3 5 147.51 -634.18 36.17 101710.08
2019 10 6 11 3 6 147.10 -634.18 36.23 101709.54
2019 10 6 11 3 7 146.59 -679.74 36.26 101709.10
2019 10 6 11 3 7 140.93 -634.18 36.28 101708.80
2019 10 6 11 3 8 130.46 -634.18 36.31 101708.65
2019 10 6 11 3 8 119.48 -732.35 36.37 101708.63
2019 10 6 11 3 9 103.12 113.89 36.39 101708.23
2019 10 6 11 3 9 91.17 118275.11 36.42 101708.27
2019 10 6 11 3 10 80.43 -4928.13 36.45 101708.64
2019 10 6 11 3 11 71.43 -679.74 36.49 101708.70
2019 10 6 11 3 11 61.69 77.51 36.51 101708.78
2019 10 6 11 3 12 53.35 59.86 36.53 101709.20
2019 10 6 11 3 12 47.92 57.67 36.55 101709.20
2019 10 6 11 3 13 45.12 36.52 36.58 101709.60
2019 10 6 11 3 13 43.27 38.45 36.62 101709.98
2019 10 6 11 3 14 43.32 39.91 36.64 101710.66
2019 10 6 11 3 14 44.91 43.59 36.66 101710.88
2019 10 6 11 3 15 50.12 52.54 36.67 101711.20
2019 10 6 11 3 16 60.30 80.13 36.68 101711.45
